"audit_rate","replicate","method","path_type","lambda","selected","audited_train_n","audited_validation_n","training_estimated_moment","validation_estimated_moment","converged","gradient_norm","log_loss","auc","accuracy","dp_score_signed","eo_score_signed","dp_score","eo_score","dp_decision_signed","eo_decision_signed","dp_decision","eo_decision"
0.01,1,"Unconstrained","exact",0,TRUE,175,57,0.00203280471984273,0.000905220124726151,TRUE,1.08513695273046e-13,0.459985191766891,0.739071040888486,0.810293137908061,0.0225450043231494,0.0156520704595688,0.0225450043231494,0.0156520704595688,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Oracle","exact",0,FALSE,175,57,0.00529178061490764,0.00629127250049168,TRUE,1.05052121372752e-13,0.459985191766892,0.739071040888486,0.810293137908061,0.02254500432315,0.0156520704595693,0.02254500432315,0.0156520704595693,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Oracle","exact",0.001,FALSE,175,57,0.00529177820905107,0.00629127012120198,TRUE,1.11021923359621e-07,0.459985190194421,0.739071040888486,0.810293137908061,0.0225449954653917,0.0156520629158549,0.0225449954653917,0.0156520629158549,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Oracle","exact",0.00316227766016838,FALSE,175,57,0.00529177173392345,0.00629126391448259,TRUE,3.27015255675397e-07,0.459985185613298,0.739070880024194,0.810293137908061,0.0225449720466989,0.0156520426163859,0.0225449720466989,0.0156520426163859,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Oracle","exact",0.01,FALSE,175,57,0.00529175136616696,0.00629124429197505,TRUE,1.02198254684685e-06,0.459985171551179,0.739071040888486,0.810293137908061,0.0225448981889969,0.0156519786441922,0.0225448981889969,0.0156519786441922,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Oracle","exact",0.0316227766016838,FALSE,175,57,0.00529168722448246,0.00629118250464328,TRUE,3.22121257043506e-06,0.459985127257558,0.739072166938527,0.810293137908061,0.022544665617006,0.0156517771643727,0.022544665617006,0.0156517771643727,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Oracle","exact",0.1,FALSE,175,57,0.00529148451496665,0.00629098721315148,TRUE,1.01779949552156e-05,0.459984987357526,0.739073936445736,0.810293137908061,0.0225439305655029,0.0156511404026737,0.0225439305655029,0.0156511404026737,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Oracle","exact",0.316227766016838,FALSE,175,57,0.0052877286987205,0.00628757386933509,TRUE,7.04374605439898e-06,0.459982676334325,0.739073132124277,0.810293137908061,0.0225308674490009,0.0156386715863113,0.0225308674490009,0.0156386715863113,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Oracle","exact",1,FALSE,175,57,0.00527881433635366,0.00627927942073684,TRUE,1.00980212214249e-05,0.459976750441284,0.739083266574652,0.810293137908061,0.0224996613374855,0.0156091517207169,0.0224996613374855,0.0156091517207169,0.0208172080416283,0.00671526788917332,0.0208172080416283,0.00671526788917332
0.01,1,"Oracle","exact",3.16227766016838,FALSE,175,57,0.0052503730703072,0.00625317992796339,TRUE,1.07983673725647e-05,0.459956840475952,0.739106591896944,0.810459693537642,0.0224021867558235,0.0155171336742858,0.0224021867558235,0.0155171336742858,0.0210930701105938,0.00706357858231177,0.0210930701105938,0.00706357858231177
