"audit_rate","method","estimate_mean","estimate_sd","estimate_se","estimate_q025","estimate_q975","error_mean","error_sd","error_se","error_q025","error_q975","squared_error_mean","squared_error_sd","squared_error_se","squared_error_q025","squared_error_q975","n_rep","rmse"
0.01,"Augmented",0.00678435282711711,0.00743282725619642,0.00166203070098684,-0.00905150119294839,0.0178195844072184,0.00149257221220952,0.00743282725619642,0.00166203070098684,-0.014343281807856,0.0125278037923108,5.47123467780936e-05,6.05393023354502e-05,1.35369995332478e-05,2.13138658281414e-07,0.000205729733019572,20,0.00739677948691818
0.01,"AugmentedMisspecified",0.00774836664487652,0.00632606247338029,0.00141455057203888,-0.00301593673894072,0.0160699958736502,0.00245658602996893,0.00632606247338029,0.00141455057203888,-0.0083077173538483,0.0107782152587426,4.40529280188934e-05,4.22481124351747e-05,9.44696513261047e-06,2.22296418533709e-09,0.000116169924163792,20,0.00663723798118565
0.01,"HardProxy",0.0140546337702708,0.00928715716830985,0.00207667147460653,-0.00220475649462393,0.0301417507626418,0.00876285315536323,0.00928715716830985,0.00207667147460653,-0.00749653710953151,0.0248499701477342,0.000158726319277904,0.000191722425120494,4.28704375380539e-05,8.38033490865329e-07,0.000617521016343282,20,0.0125986633925153
0.01,"IPW",0.00756933171790994,0.0117378911369843,0.00262467224947893,-0.0193469239335263,0.0303974746612189,0.00227755110300235,0.0117378911369843,0.00262467224947893,-0.0246387045484339,0.0251056940463113,0.000136076422953298,0.000187735358263185,4.19789022856758e-05,2.17332670097724e-09,0.000630295873546992,20,0.0116651799366018
0.01,"SoftProxy",0.00595878281120756,0.00559320517527078,0.00125067869840091,-0.00364836073729899,0.0163843885278317,0.000667002196299973,0.00559320517527078,0.00125067869840091,-0.00894014135220658,0.0110926079129242,3.01646388559111e-05,3.29712202734593e-05,7.37258898325741e-06,8.6936934849299e-09,0.000123045950309868,20,0.00549223441378016
0.01,"SoftProxyMisspecified",0.00646125482232316,0.0050996746716029,0.0011403219228838,-0.00309549790387915,0.0137348467639888,0.00116947420741557,0.0050996746716029,0.0011403219228838,-0.00838727851878674,0.00844306614908123,2.60740175901891e-05,2.54248238378031e-05,5.68516344172848e-06,3.07887303218803e-07,7.12853659977614e-05,20,0.00510627237720326
0.01,"True",0.00529178061490759,0,0,0.00529178061490759,0.00529178061490759,0,0,0,0,0,0,0,0,0,0,20,0
0.02,"Augmented",0.00470365022583807,0.00426133716093985,0.000952863956690747,-0.00286994037669206,0.0124879915634866,-0.000588130389069514,0.00426133716093985,0.000952863956690747,-0.00816172099159964,0.00719621094857901,1.75969420337936e-05,1.86308009472519e-05,4.16597373933228e-06,2.58108907107522e-07,6.66136895447183e-05,20,0.00419487091980119
0.02,"AugmentedMisspecified",0.00462490400506719,0.0045741139295518,0.00102280296833065,-0.00284084249400362,0.0132331191574792,-0.000666876609840395,0.0045741139295518,0.00102280296833065,-0.00813262310891121,0.00794133854257164,2.0321116741246e-05,2.06848420466973e-05,4.62527129202609e-06,4.53288412161331e-08,6.61395586315966e-05,20,0.00450789493458377
0.02,"HardProxy",0.0132333406564394,0.0078017973018522,0.0017445349113616,-0.000205921588298246,0.0278899532641045,0.00794156004153182,0.0078017973018522,0.0017445349113616,-0.00549770220320583,0.0225981726491969,0.000120893014975484,0.000157915750270001,3.53110352321603e-05,2.76044283057942e-07,0.00051067740708291,20,0.0109951359689402
