"alpha","brier","auc","plugin_bias","variance_ratio_to_ipw"
-2,0.151755338628101,0.905121745059723,-0.0228392057120973,0.354555824061518
-1.8,0.143926516472833,0.905121745059723,-0.0202918916973387,0.329091073715114
-1.6,0.136430261154287,0.905121745059723,-0.0177054866607573,0.30597570621174
-1.4,0.129394386421872,0.905121745059723,-0.0150984330671043,0.285449480158224
-1.2,0.122950862686683,0.905121745059723,-0.0124908505452869,0.267712193756144
-1,0.117233626301419,0.905121745059723,-0.00990443011748097,0.252919752003828
-0.8,0.112376251822956,0.905121745059723,-0.00736228701220491,0.241181036402508
-0.6,0.108509585300775,0.905121745059723,-0.00488876059706342,0.232555897255658
-0.4,0.105759441089763,0.905121745059723,-0.00250915478653463,0.227054762652499
-0.2,0.104244443256886,0.905121745059723,-0.000249417996168247,0.224640358078914
0,0.104074054046939,0.905121745059723,0.0018642335452153,0.225231856940741
0.2,0.105346788681108,0.905121745059723,0.00380574243353168,0.228711494955775
0.4,0.108148578336454,0.905121745059723,0.00554967879570679,0.234933362410187
0.6,0.112551218173111,0.905121745059723,0.0070717428651287,0.243733811867584
0.8,0.118610829231783,0.905121745059723,0.00834929281445282,0.254942732292647
1,0.126366274867048,0.905121745059723,0.00936188796105379,0.268394854888464
1.2,0.135837503860816,0.905121745059723,0.0100918349548767,0.283940250113164
1.4,0.147023838329527,0.905121745059723,0.010524720910007,0.301453214276807
1.6,0.159902276755828,0.905121745059723,0.0106499131762637,0.320838805756919
1.8,0.174425935094587,0.905121745059723,0.0104610014032078,0.342036386873612
2,0.190522802346677,0.905121745059723,0.00995615469401526,0.365019701450909
