"scenario","audit_rate","method","n_rep","mean_estimate","true_moment","bias","sd","rmse","mean_brier","mean_auc"
"feature_shift",0.01,"Augmented: External BISG-like",100,0.00654104834249215,0.0078856042776328,-0.00134455593514065,0.00773317810156166,0.00781100849939942,0.153307515844871,0.862540822876742
"prior_shift",0.01,"Augmented: External BISG-like",100,0.0693641211710043,0.0678071585649271,0.00155696260607722,0.0102032038319734,0.0102707569004992,0.151716692879977,0.862739679056371
"transported",0.01,"Augmented: External BISG-like",100,0.0564826336999583,0.0570926562306611,-0.000610022530702847,0.00928057421318754,0.00925418254829576,0.126155099493112,0.864292695144373
"feature_shift",0.02,"Augmented: External BISG-like",100,0.00895064703897476,0.0078856042776328,0.00106504276134196,0.00652298058113547,0.00657708894487057,0.153307515844871,0.862540822876742
"prior_shift",0.02,"Augmented: External BISG-like",100,0.0683294925169424,0.0678071585649271,0.00052233395201529,0.00705269645561183,0.00703675740518866,0.151716692879977,0.862739679056371
"transported",0.02,"Augmented: External BISG-like",100,0.0579047781708464,0.0570926562306611,0.000812121940185299,0.00611807259915438,0.00614133912522088,0.126155099493112,0.864292695144373
"feature_shift",0.05,"Augmented: External BISG-like",100,0.00880808590919798,0.0078856042776328,0.000922481631565176,0.00378436680307298,0.00387674994547933,0.153307515844871,0.862540822876742
"prior_shift",0.05,"Augmented: External BISG-like",100,0.067864132940315,0.0678071585649271,5.69743753879345e-05,0.00417839761948619,0.00415784351308625,0.151716692879977,0.862739679056371
"transported",0.05,"Augmented: External BISG-like",100,0.056758643191998,0.0570926562306611,-0.000334013038663133,0.00439329418998554,0.00438401507882445,0.126155099493112,0.864292695144373
"feature_shift",0.1,"Augmented: External BISG-like",100,0.00778597971586443,0.0078856042776328,-9.96245617683696e-05,0.00260310648702011,0.00259197353424877,0.153307515844871,0.862540822876742
"prior_shift",0.1,"Augmented: External BISG-like",100,0.0675259927087489,0.0678071585649271,-0.000281165856178255,0.00292760519346572,0.00292646846656509,0.151716692879977,0.862739679056371
"transported",0.1,"Augmented: External BISG-like",100,0.0571114583828578,0.0570926562306611,1.88021521966452e-05,0.00209180960092664,0.00208140919893009,0.126155099493112,0.864292695144373
"feature_shift",0.2,"Augmented: External BISG-like",100,0.00784659635533539,0.0078856042776328,-3.90079222974106e-05,0.00196178376934935,0.00195233993456767,0.153307515844871,0.862540822876742
"prior_shift",0.2,"Augmented: External BISG-like",100,0.0677756711075743,0.0678071585649271,-3.14874573528724e-05,0.00173124596564016,0.00172285574775731,0.151716692879977,0.862739679056371
"transported",0.2,"Augmented: External BISG-like",100,0.0568309648804126,0.0570926562306611,-0.000261691350248553,0.00173055298566161,0.00174165090147693,0.126155099493112,0.864292695144373
"feature_shift",0.01,"Augmented: External same-X",100,0.0060740335186161,0.0078856042776328,-0.0018115707590167,0.0097968588760199,0.00991465823985919,0.2049980758833,0.792314639540441
"prior_shift",0.01,"Augmented: External same-X",100,0.0686471086309604,0.0678071585649271,0.000839950066033274,0.00763709728066539,0.00764509767360971,0.123816064393534,0.907541914036222
